paragraph_index,text,style,alignment,font_name,font_size,font_bold,font_italic,run_index,run_text,run_font_name,run_font_size,run_bold,run_italic
0,,Attribution,None,Graphik Semibold,23.0,,,0,,Inherited,,,
0,,Attribution,None,Graphik Semibold,23.0,,,1,,Inherited,,,
0,,Attribution,None,Graphik Semibold,23.0,,,2,,Inherited,,,
0,,Attribution,None,Graphik Semibold,23.0,,,3,,Inherited,,,
0,,Attribution,None,Graphik Semibold,23.0,,,4,,Inherited,,,
2,,Normal,None,,,,,0,,Inherited,,,
3,"1. Executive Summary
",Heading 1,None,,16.0,True,,0,1.,Inherited,,,
3,"1. Executive Summary
",Heading 1,None,,16.0,True,,1, ,Inherited,,,
3,"1. Executive Summary
",Heading 1,None,,16.0,True,,2,Executive Summary,Inherited,,,
3,"1. Executive Summary
",Heading 1,None,,16.0,True,,3,"
",Inherited,,,
4,"Digital Technology Partner Ltd is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses.
",Normal,None,,,,,0,Digital Technology Partner Ltd,Inherited,,,
4,"Digital Technology Partner Ltd is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses.
",Normal,None,,,,,1," is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. ",Inherited,,,
4,"Digital Technology Partner Ltd is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses.
",Normal,None,,,,,2,Digital Technology Partner leverages AI,Inherited,,True,
